id;title;description;tooltip;icon;jhi_order;cityservicestate_id
1;analyzing;RAM Buckinghamshire generating;Tasty JBOD;Plastic;46120;1
2;Fuerte online;array Dinar Island;communities Implementation;Directives Fish;59492;2
3;Tuvalu;cross-platform Cambridgeshire;Executive Infrastructure local;back-end Computers Executive;73507;3
4;Customer-focused Bedfordshire;Orchestrator transmitter Ball;Fresh;Computer Indian;10599;4
5;Nevada data-warehouse Liaison;system Tasty;Shirt Quality;Wooden;76847;5
6;Somali Baby Connecticut;Pizza Accountability;Arkansas hacking overriding;Fantastic Consultant;37373;6
7;Granite superstructure;Turnpike SMS green;Loan synergy;synergies lavender;47709;7
8;Cotton;neural Alabama;Granite;back Bypass Industrial;23356;8
9;context-sensitive;extranet Georgia;up programming;dynamic Handcrafted target;58782;9
10;Concrete Kwanza Concrete;Fantastic;Refined Sports;Wooden;72804;10
